month,grdatn,marstat,age,class,region,state,hours,mlr,natvty,msafp,msastat,faminc,spneth,race,year,class_t1,mlr_t1,wgta,ind2,indmaj2,ind2_t1,indmaj2_t1,pid,yeart1,female,immigr,homeown,hoursu1b,hoursu1b_t1,se15u,se15u_t1,ent015u,ent015ua,vet,wgtat,wgtat1
12,42,5,57,4,1,14,40,1,57,49340,2,15,-1,1,2014,4,1,3032.981195,8190,10,8190,10,15866200851 3111 11912,2015,1,0,,40,40,0,0,0,0,0,269.1724422,270.4338243
12,39,7,26,4,1,14,40,1,57,49340,2,15,2,1,2014,4,1,4541.187866,2170,4,2170,4,15866200851 3111 21912,2015,0,0,,40,40,0,0,0,0,0,403.0234775,404.9121055
12,41,1,43,4,2,41,46,1,110,0,4,12,-1,1,2014,4,1,4538.557934,3960,4,3960,4,17286201521 3011 11912,2015,0,0,,46,40,0,0,0,0,0,402.790075,404.6776092
12,39,1,38,4,2,41,40,1,57,0,4,12,-1,1,2014,4,1,3864.117169,7860,10,7860,10,17286201521 3011 21912,2015,1,0,,40,30,0,0,0,0,0,342.9344887,344.5415307
12,42,1,51,-1,3,58,-1,6,57,12060,2,13,-1,1,2014,-1,6,6312.496934,,,,,43549100171 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,560.2244481,562.8497432
12,42,1,50,4,3,58,50,1,57,12060,2,13,-1,1,2014,4,1,4557.136112,8660,11,8660,11,43549100171 3011 21912,2015,1,0,,50,60,0,0,0,0,0,404.4388599,406.3341205
12,39,7,33,4,1,16,-1,4,57,49340,2,7,-1,1,2014,4,4,4641.737973,2370,4,2370,4,50515022917 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,411.9471457,413.8775913
12,40,4,52,5,1,16,42,1,57,49340,2,7,-1,1,2014,5,1,4199.769682,8170,10,8170,10,50515022917 3011 21912,2015,1,0,,40,10,0,0,0,,0,372.7231359,374.4697719
12,43,1,41,4,4,81,30,1,57,0,3,14,-1,1,2014,4,1,459.801295,7280,9,7280,9,50533300001 3111 11912,2015,1,0,,30,30,0,0,0,0,0,40.80666168,40.99788776
12,39,1,43,6,4,81,40,1,57,0,3,14,-1,1,2014,6,1,527.5148698,5275,5,5275,5,50533300001 3111 21912,2015,0,0,,40,40,1,1,,,0,46.81613788,47.03552526
12,44,1,43,5,3,56,30,1,57,24660,2,16,-1,1,2014,5,1,4191.893064,7860,10,7860,10,57233301001 3011 11912,2015,1,0,,30,40,0,0,0,0,0,372.0240981,373.7674583
